Stage,Day,Time,Act
Spike Island,Saturday 29th August,19:45 - 20:45,Trad Folkin Raps
Spike Island,Saturday 29th August,21:15 - 22:15,The Spudguns
Spike Island,Saturday 29th August,22:45 - 23:45,Burnchurch
Spike Island,Saturday 29th August,00:15 - 01:30,Ispíní na hÉireann
Spike Island,Saturday 29th August,02:00 - 03:30,The Fada Live Session
Spike Island,Sunday 30th August,14:00 - 16:15,Darkey Kelly's Session
Spike Island,Sunday 30th August,16:45 - 17:30,Saltaire
Spike Island,Sunday 30th August,18:00 - 18:45,Nóiníní
Spike Island,Sunday 30th August,19:15 - 20:00,Laura Jo
Spike Island,Sunday 30th August,20:30 - 21:15,Caoimhín
Spike Island,Sunday 30th August,21:45 - 23:00,Friends of the Relics
Spike Island,Sunday 30th August,23:30 - 00:45,Special Guest
Spike Island,Sunday 30th August,01:15 - 02:45,Megatrad
Stradbally Inn,Friday 28th August,13:30 - 15:00,?
Stradbally Inn,Friday 28th August,15:30 - 17:00,?
Stradbally Inn,Friday 28th August,17:30 - 19:00,?
Stradbally Inn,Friday 28th August,19:30 - 21:00,?
Stradbally Inn,Friday 28th August,21:30 - 23:00,?
Stradbally Inn,Friday 28th August,23:30 - 01:00,?
Stradbally Inn,Saturday 29th August,11:00 - 12:30,?
Stradbally Inn,Saturday 29th August,13:30 - 15:00,?
Stradbally Inn,Saturday 29th August,15:30 - 17:00,?
Stradbally Inn,Saturday 29th August,17:30 - 19:00,?
Stradbally Inn,Saturday 29th August,19:30 - 21:00,?
Stradbally Inn,Saturday 29th August,21:30 - 23:00,?
Stradbally Inn,Saturday 29th August,23:30 - 01:00,?
Stradbally Inn,Sunday 30th August,13:30 - 15:00,?
Stradbally Inn,Sunday 30th August,15:30 - 17:00,?
Stradbally Inn,Sunday 30th August,17:30 - 19:00,?
Stradbally Inn,Sunday 30th August,19:30 - 21:00,?
Stradbally Inn,Sunday 30th August,21:30 - 23:00,?
Stradbally Inn,Sunday 30th August,23:30 - 01:00,?
Survivor,Thursday 27th August,20:00 - 21:00,Standback
Survivor,Thursday 27th August,22:50 - 00:05,Rugged Little Pill
Survivor,Friday 28th August,16:00 - 17:00,Bobby Mc with Luke Thomas & the Paul Dunlea Big Band
Survivor,Saturday 29th August,20:30 - 21:30,Risky Business (Live Aid Relived)
Survivor,Saturday 29th August,22:15 - 23:15,Strength in Numbers (Rod Stewart Tribute)
Survivor,Sunday 30th August,00:00 - 01:00,Safe from Harm + Live Orchestra
The Lovely Local,Friday 28th August,13:55 - 14:55,BLKCNVS
The Lovely Local,Friday 28th August,15:30 - 16:30,The Wran (Trad Session)
The Lovely Local,Friday 28th August,16:50 - 17:50,Sorcha Richardson
The Lovely Local,Friday 28th August,18:15 - 19:15,Sally Cinnamon
The Lovely Local,Friday 28th August,19:25 - 20:25,Morgana
The Lovely Local,Friday 28th August,20:55 - 21:55,Gra (Trad Session)
The Lovely Local,Friday 28th August,22:20 - 23:20,Gurriers (DJ Set)
The Lovely Local,Friday 28th August,23:40 - 00:40,KK Lewis
The Lovely Local,Friday 28th August,00:55 - 01:55,Mo Cultivation
The Lovely Local,Friday 28th August,02:15 - 03:15,New Act
Theatre Of Food,Friday 28th August,17:00 - 17:45,"The Theatre of Food Pub Quiz, with Erica Drum & Dee Laffan"
Theatre Of Food,Friday 28th August,18:00 - 18:45,Cluck Off w/ Spice Genie and Kwanghi Chan
Theatre Of Food,Saturday 29th August,12:00 - 12:45,The Theatre of Food Bake Off! With Alice Kelly and Graham Herterich
Theatre Of Food,Saturday 29th August,13:00 - 13:45,Dumplings from around the World with Eva Pau and Sham Hanifa
Theatre Of Food,Saturday 29th August,14:00 - 14:45,Irish Heritage Grains with Gra Pizza
Theatre Of Food,Saturday 29th August,15:00 - 15:45,The Toasted Sandwich Off - Killkenny v Kerry with Arán Bakery and Cais
Theatre Of Food,Saturday 29th August,16:00 - 16:45,"Blood, Guts and Black Pudding with Graham Herterich, Kate Ryan, and Hugh Maguire"
Theatre Of Food,Saturday 29th August,17:00 - 17:45,Dishes and Discs W/ Special Guests
Theatre Of Food,Sunday 30th August,14:00 - 14:45,"How to be an foodfluencer w/ Alice Kelly, Marcus O'Laoire, & John McKenna"
Theatre Of Food,Sunday 30th August,15:00 - 15:45,"The future and past of Irish Growing w/ Ryan Lally, Anthony O'Toole, Colman Power, Dee Laffan, & Brendan Guinan"
Theatre Of Food,Sunday 30th August,16:00 - 16:45,"Ireland's Hotest Sauces w/ Chimac, Sham Hanifa, & Mi Amor"
Theatre Of Food,Sunday 30th August,17:00 - 17:45,"Ireland's Food Legacy W/ Arun Kapil, 51CornMarket, Smokin Soul, & Dan Hegarty"
Today FM Sound Garden,Friday 28th August,16:30 - 17:30,?
Today FM Sound Garden,Friday 28th August,17:30 - 18:30,?
Today FM Sound Garden,Friday 28th August,18:30 - 19:30,?
Today FM Sound Garden,Friday 28th August,19:30 - 20:30,?
Today FM Sound Garden,Friday 28th August,20:30 - 21:30,?
Today FM Sound Garden,Friday 28th August,21:30 - 23:00,?
Today FM Sound Garden,Friday 28th August,23:00 - 23:55,?
Today FM Sound Garden,Saturday 29th August,12:30 - 13:30,?
Today FM Sound Garden,Saturday 29th August,13:30 - 14:30,?
Today FM Sound Garden,Saturday 29th August,14:30 - 15:30,?
Today FM Sound Garden,Saturday 29th August,15:30 - 16:30,?
Today FM Sound Garden,Saturday 29th August,16:30 - 17:30,?
Today FM Sound Garden,Saturday 29th August,17:30 - 18:30,?
Today FM Sound Garden,Saturday 29th August,18:30 - 19:30,?
Today FM Sound Garden,Saturday 29th August,19:30 - 21:00,?
Today FM Sound Garden,Saturday 29th August,21:00 - 22:00,?
Today FM Sound Garden,Saturday 29th August,22:00 - 23:00,?
Today FM Sound Garden,Sunday 30th August,13:00 - 15:00,?
Today FM Sound Garden,Sunday 30th August,15:00 - 16:30,?
Today FM Sound Garden,Sunday 30th August,16:30 - 17:30,?
Today FM Sound Garden,Sunday 30th August,17:30 - 18:30,?
Today FM Sound Garden,Sunday 30th August,18:30 - 19:30,?
Today FM Sound Garden,Sunday 30th August,19:30 - 21:00,?
Today FM Sound Garden,Sunday 30th August,21:00 - 22:30,?
Today FM Sound Garden,Sunday 30th August,22:30 - 23:30,?
TOF - Drinks Theatre,Friday 28th August,16:00 - 16:45,(Cocktail) Party like it's 1999 with Judith & Susan Boyle
TOF - Drinks Theatre,Friday 28th August,17:00 - 17:45,History of the Gin Martini with Sidecar & Tanqueray
TOF - Drinks Theatre,Friday 28th August,18:00 - 18:45,Breath Bounce and Booch with All About Kombucha
TOF - Drinks Theatre,Saturday 29th August,12:00 - 12:45,"The New Public House? with Eist Espresso, Calendar Coffee & Sian Conway"
TOF - Drinks Theatre,Saturday 29th August,13:00 - 13:45,"Time for Wine's Glow Up with Sip Wine, Wine Station, & friends"
TOF - Drinks Theatre,Saturday 29th August,14:00 - 14:45,Kinara Cocktails with Simon O'Connor
TOF - Drinks Theatre,Saturday 29th August,15:00 - 15:45,The Irish Whiskey Cookbook with Oisin Davis
TOF - Drinks Theatre,Saturday 29th August,16:00 - 16:45,"AperO'Clock with Valentia Vermouth, Vera Foods & Brigid O'Hora"
TOF - Drinks Theatre,Saturday 29th August,17:00 - 17:45,"Drinks at Mine with Marcus O'Laoire, Tara Deery, Jordan Mooney & Carlingford Oysters"
TOF - Drinks Theatre,Saturday 29th August,18:00 - 18:45,Agave Spirits in Cocktails with Paladar and Casamigos
TOF - Drinks Theatre,Sunday 30th August,13:00 - 13:45,"Rehydration Station with Fat Tomato, Picado Mexico and Lady Bites Podcast"
TOF - Drinks Theatre,Sunday 30th August,14:00 - 14:45,"The New (Old) Public House with L Mulligans Grocer, Bia Duit & Aoife Carrigy"
TOF - Drinks Theatre,Sunday 30th August,15:00 - 15:45,"Smokin' Wine Pairings with Smokin' Soul, Burren Smokehouse & Leslie Williams"
TOF - Drinks Theatre,Sunday 30th August,16:00 - 16:45,"Sherry and Irish Whiskey, a love story, with Roe & Co, The Centre Cut, & Antonia Dominguez"
TOF - Drinks Theatre,Sunday 30th August,17:00 - 17:45,Irish Folklore in Spirit with Pigs Lane & Roe and Co.
TOF - Garden Stage,Friday 28th August,16:00 - 16:45,Sham Hanifa
TOF - Garden Stage,Friday 28th August,17:30 - 18:30,Smokin Soul & Friends
TOF - Garden Stage,Saturday 29th August,12:00 - 12:45,Spice Genie
TOF - Garden Stage,Saturday 29th August,13:30 - 14:30,Kwanghi Chan
TOF - Garden Stage,Saturday 29th August,15:00 - 16:00,Tango Streetfood
TOF - Garden Stage,Saturday 29th August,16:30 - 17:30,Smokin Soul and Friends
TOF - Garden Stage,Sunday 30th August,12:00 - 13:00,Arun Kapil
TOF - Garden Stage,Sunday 30th August,13:30 - 14:30,Victor Franca
TOF - Garden Stage,Sunday 30th August,15:00 - 15:45,Lily Ramirez
TOF - Garden Stage,Sunday 30th August,16:30 - 17:30,John Whelan
Trailer Park - Main Stage,Friday 28th August,12:30 - 13:30,WEDNESDAY GANG
Trailer Park - Main Stage,Friday 28th August,14:00 - 15:00,THE EVERGREEN BROTHERS
Trailer Park - Main Stage,Friday 28th August,15:25 - 16:15,RACK & RUINS
Trailer Park - Main Stage,Friday 28th August,16:45 - 17:30,MAICIN
Trailer Park - Main Stage,Friday 28th August,18:10 - 19:10,THE FOREIGN LOCALS
Trailer Park - Main Stage,Friday 28th August,19:40 - 20:30,BAREFOOT MAFIA
Trailer Park - Main Stage,Friday 28th August,21:00 - 22:00,OUT ON BALE
Trailer Park - Main Stage,Friday 28th August,22:30 - 23:30,RAZ AND AFLA
Trailer Park - Main Stage,Friday 28th August,00:00 - 00:55,SHAKALAK
Trailer Park - Main Stage,Friday 28th August,01:15 - 02:15,GROOVELINE
Trailer Park - Main Stage,Saturday 29th August,12:00 - 12:45,DUBLIN UKULELE COLLECTIVE
Trailer Park - Main Stage,Saturday 29th August,13:05 - 14:00,RELUCTANT BOB AND THE LONELY LOVERS
Trailer Park - Main Stage,Saturday 29th August,14:20 - 15:20,JEAN PACK AND THE SLAY BABIES
Trailer Park - Main Stage,Saturday 29th August,15:40 - 16:40,THE LUNA BOYS
Trailer Park - Main Stage,Saturday 29th August,17:00 - 18:00,DOGPOND
Trailer Park - Main Stage,Saturday 29th August,18:30 - 19:30,DAVID GERAGHTY
Trailer Park - Main Stage,Saturday 29th August,20:00 - 20:55,THE JADES
Trailer Park - Main Stage,Saturday 29th August,21:25 - 22:20,BAKA BEYOND
Trailer Park - Main Stage,Saturday 29th August,22:50 - 23:40,FUNKY TOWN
Trailer Park - Main Stage,Saturday 29th August,00:10 - 01:00,DELUSH
Trailer Park - Main Stage,Saturday 29th August,01:15 - 02:15,MY BAD SISTER
Trailer Park - Main Stage,Sunday 30th August,12:00 - 12:50,THE TIMAHOE MALE CHOIR
Trailer Park - Main Stage,Sunday 30th August,13:20 - 14:20,THE PEARLY WHITES
Trailer Park - Main Stage,Sunday 30th August,14:50 - 15:50,BOOTLEG BEACH BOYS
Trailer Park - Main Stage,Sunday 30th August,16:20 - 17:20,MCCARTNEY ALL THE BEST
Trailer Park - Main Stage,Sunday 30th August,17:50 - 18:40,EPPIE
Trailer Park - Main Stage,Sunday 30th August,19:10 - 20:10,POP GODS
Trailer Park - Main Stage,Sunday 30th August,20:40 - 21:40,ESMERELDA ROAD
Trailer Park - Main Stage,Sunday 30th August,22:10 - 23:10,HANK & THE LADS
Trailer Park - Main Stage,Sunday 30th August,23:40 - 00:40,SAVAGE HEARTS
Trailer Park - Main Stage,Sunday 30th August,01:00 - 02:00,RUAILE BUAILE
Trailer Park - My Lovely Horse,Thursday 27th August,23:00 - 23:30,?
Trailer Park - My Lovely Horse,Saturday 29th August,13:00 - 15:00,?
Transmission,Thursday 27th August,18:00 - 19:30,Mark Fitz & Baw
Transmission,Thursday 27th August,19:30 - 21:00,Full Funktion
Transmission,Thursday 27th August,21:00 - 22:30,Ciano
Transmission,Thursday 27th August,22:30 - 00:00,Granted
Transmission,Friday 28th August,22:00 - 23:30,Victor Beesley
Transmission,Friday 28th August,23:30 - 01:00,Furlong
Transmission,Friday 28th August,01:00 - 02:30,Luca
Transmission,Friday 28th August,02:30 - 04:00,Mad Gab
Transmission,Saturday 29th August,22:00 - 23:30,Snell
Transmission,Saturday 29th August,23:30 - 01:00,Dancenasty
Transmission,Saturday 29th August,01:00 - 02:30,Mark Fitz
Transmission,Saturday 29th August,02:30 - 04:00,Vibez
Transmission,Sunday 30th August,21:05 - 22:35,Luca Consentino
Transmission,Sunday 30th August,22:00 - 23:30,MXRK
Transmission,Sunday 30th August,23:30 - 00:50,Baw
Transmission,Sunday 30th August,00:50 - 02:20,DrowZeeDan
Transmission,Sunday 30th August,02:20 - 03:40,Kev Mac
Transmission,Sunday 30th August,03:40 - 04:00,Ali Kemal Ali
Trenchtown - Treasure Beach,Thursday 27th August,18:00 - 21:00,Ian Hart
Trenchtown - Treasure Beach,Thursday 27th August,18:00 - 21:00,One World Sound
Trenchtown - Treasure Beach,Thursday 27th August,21:00 - 22:00,BVN
Trenchtown - Treasure Beach,Thursday 27th August,22:00 - 23:00,Teggy
Trenchtown - Treasure Beach,Thursday 27th August,23:00 - 00:00,Will Softly
Trenchtown - Treasure Beach,Friday 28th August,10:00 - 12:00,Will Softly
Trenchtown - Treasure Beach,Friday 28th August,12:00 - 15:00,Three Little Birds
Trenchtown - Treasure Beach,Friday 28th August,15:00 - 17:00,Karmawi
Trenchtown - Treasure Beach,Friday 28th August,17:00 - 19:00,Ray McShake
Trenchtown - Treasure Beach,Friday 28th August,19:00 - 21:00,Mitch Presents
Trenchtown - Treasure Beach,Friday 28th August,21:00 - 22:00,Ceola Haile
Trenchtown - Treasure Beach,Friday 28th August,22:00 - 23:00,Michael Downing
Trenchtown - Treasure Beach,Friday 28th August,23:00 - 00:00,Stellar Jo
Trenchtown - Treasure Beach,Friday 28th August,00:00 - 01:00,Chloë Pixie
Trenchtown - Treasure Beach,Friday 28th August,00:00 - 01:00,Pearl the Water Nymph
Trenchtown - Treasure Beach,Friday 28th August,00:00 - 01:00,Will Softly
Trenchtown - Treasure Beach,Friday 28th August,01:00 - 04:00,Rocksteady Social Club
Trenchtown - Treasure Beach,Saturday 29th August,10:00 - 12:00,Ian Hart
Trenchtown - Treasure Beach,Saturday 29th August,10:00 - 12:00,One World Sound
Trenchtown - Treasure Beach,Saturday 29th August,12:00 - 14:00,Karmawi
Trenchtown - Treasure Beach,Saturday 29th August,16:00 - 18:00,Puffin Man
Trenchtown - Treasure Beach,Saturday 29th August,16:00 - 18:00,Ray McShake
Trenchtown - Treasure Beach,Saturday 29th August,18:00 - 19:00,Kelly Bongo
Trenchtown - Treasure Beach,Saturday 29th August,19:00 - 20:00,Kelsey
Trenchtown - Treasure Beach,Saturday 29th August,20:00 - 21:00,Beansidhe
Trenchtown - Treasure Beach,Saturday 29th August,21:00 - 22:00,Shimmy Irie
Trenchtown - Treasure Beach,Saturday 29th August,22:00 - 23:00,Teggy
Trenchtown - Treasure Beach,Saturday 29th August,23:00 - 01:00,Pablo Santo
Trenchtown - Treasure Beach,Saturday 29th August,01:00 - 04:00,Rhythm People Recordings
Trenchtown - Treasure Beach,Sunday 30th August,14:00 - 16:00,Sibh C
Trenchtown - Treasure Beach,Sunday 30th August,16:00 - 17:00,Mojo
Trenchtown - Treasure Beach,Sunday 30th August,17:00 - 19:00,Andy K
Trenchtown - Treasure Beach,Sunday 30th August,19:00 - 21:00,DJ Denfensive
Trenchtown - Treasure Beach,Sunday 30th August,21:00 - 23:00,Zazaman
Trenchtown - Treasure Beach,Sunday 30th August,23:00 - 00:00,Chloë Pixie
Trenchtown - Treasure Beach,Sunday 30th August,23:00 - 00:00,Pearl the Water Nymph
Trenchtown - Treasure Beach,Sunday 30th August,23:00 - 00:00,Will Softly
Trenchtown - Treasure Beach,Sunday 30th August,00:00 - 02:00,TREASURE BEACH MASHDOWN
Trenchtown - Treasure Beach,Sunday 30th August,02:00 - 03:00,BOB MARLEY REGGAE TRIBUTE (DJ SET)
White Claw,Friday 28th August,14:00 - 17:00,Craig Stone
White Claw,Friday 28th August,17:00 - 20:00,Emmie
White Claw,Friday 28th August,20:00 - 23:00,Karl Seery
White Claw,Friday 28th August,23:00 - 01:00,_lawrence909
White Claw,Saturday 29th August,14:00 - 16:00,CSD
White Claw,Saturday 29th August,16:00 - 17:30,One More Tune
White Claw,Saturday 29th August,17:30 - 20:30,Mark Murphy
White Claw,Saturday 29th August,20:30 - 23:00,Jamie Ennis
White Claw,Saturday 29th August,23:00 - 01:00,Yours Truly
White Claw,Sunday 30th August,14:00 - 17:00,Remor
White Claw,Sunday 30th August,17:00 - 19:00,Maria Lawlor
White Claw,Sunday 30th August,19:00 - 22:00,FoxGluv
White Claw,Sunday 30th August,22:00 - 01:00,DJ Deece
